publication,year,endorsed,source,source2,notes
Charlotte Observer,1996,Clinton,http://lasvegassun.com/news/1996/oct/28/midwest-south-papers-like-dole/,,
Charlotte Observer,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Charlotte Observer,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Charlotte Observer,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Charlotte Observer,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Charlotte Observer,2016,Clinton,http://www.charlotteobserver.com/opinion/editorials/article105437296.html,,
Chattanooga Times Free Press,1980,Carter/Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.","Email from Clint Cooper, Chattanooga Free Press Opinion Page Editor","Chattanooga Times editorial board endorsed Carter, Chattanooga Free Press editorial board endorsed Reagan"
Chattanooga Times Free Press,1984,Mondale/Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.","Email from Clint Cooper, Chattanooga Free Press Opinion Page Editor","Chattanooga Times editorial board endorsed Mondale, Chattanooga Free Press editorial board endorsed Reagan"
Chattanooga Times Free Press,1988,Dukakis/Bush,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.","Email from Clint Cooper, Chattanooga Free Press Opinion Page Editor","Chattanooga Times editorial board endorsed Dukakis, Chattanooga Free Press editorial board endorsed Bush"
Chattanooga Times Free Press,1992,Clinton/Bush,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.","Email from Clint Cooper, Chattanooga Free Press Opinion Page Editor","Chattanooga Times editorial board endorsed Clinton, Chattanooga Free Press editorial board endorsed Bush"
Chattanooga Times Free Press,1996,Clinton/Dole,"""Dole wins... in endorsements."" Editor & Publisher. Volume 129, Issue 43. Oct 26, 1996. pp. 10-11.","Email from Clint Cooper, Chattanooga Free Press Opinion Page Editor","Chattanooga Times editorial board endorsed Clinton, Chattanooga Free Press editorial board endorsed Dole"
Chattanooga Times Free Press,2000,Gore/Bush,https://www2.gwu.edu/~action/natendorse5.html,,"Chattanooga Times editorial board endorsed Gore, Chattanooga Free Press editorial board endorsed Bush"
Chattanooga Times Free Press,2004,Kerry/Bush,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,"Chattanooga Times editorial board endorsed Kerry, Chattanooga Free Press editorial board endorsed Bush"
Chattanooga Times Free Press,2008,Obama/McCain,https://www2.gwu.edu/~action/2008/media08/endorsements/endorse08newspgen.html,,"Chattanooga Times editorial board endorsed Obama, Chattanooga Free Press editorial board endorsed McCain"
Chattanooga Times Free Press,2012,Obama/Johnson,http://www.timesfreepress.com/news/opinion/freepress/story/2012/oct/24/1024b-fp1-gary-johnson-for-president/91028/,http://www.dailykos.com/story/2012/10/31/1153065/-Here-is-the-latest-update-on-newspaper-endorsements-for-president,"Chattanooga Times editorial board endorsed Obama, Chattanooga Free Press editorial board endorsed Johnson"
Chattanooga Times Free Press,2016,Unknown/None,http://www.timesfreepress.com/news/opinion/freepress/story/2016/oct/16/cooper-shocking-disappointment/392143/,,Chattanooga Free Press editorial board made no endorsement
Chicago Sun-Times,1980,Carter,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1988,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1992,Clinton,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Chicago Sun-Times,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Chicago Sun-Times,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Chicago Sun-Times,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Chicago Sun-Times,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
